Section,Question,Prompt,Answer
Part A (in lab - Part 1),1,Soil map unit symbol,
Part A (in lab - Part 1),1,Soil map unit name,
Part A (in lab - Part 1),1,Ecological site name,
Part A (in lab - Part 1),1,Ecological site ID,
Part A (in lab - Part 1),2,Reference state dominant species,
Part A (in lab - Part 1),2,Reference state expected cover or production,
Part A (in lab - Part 1),2,Slope / landform / hillslope position the ESD gives for this site,
Part B (back indoors - Part 7),Check,Your plot centre coordinates,
Part B (back indoors - Part 7),Check,Map unit your plot centre actually falls in,
Part B (back indoors - Part 7),Check,Same as the class lookup? If not - your actual ecological site and why the units differ here,
Part B (back indoors - Part 7),3,Your LPI foliar cover (pct),
Part B (back indoors - Part 7),3,Your three most abundant species,
Part B (back indoors - Part 7),3,Biggest mismatch with the reference community,
Part B (back indoors - Part 7),4,Which state on the state-and-transition model your plot best matches,
Part B (back indoors - Part 7),4,Evidence from your own data,
Part B (back indoors - Part 7),5,Slope / landform / hillslope position you recorded in the field,
Part B (back indoors - Part 7),5,Do they agree - and if not which is more likely wrong and why,
Part B (back indoors - Part 7),6,What the soil pit would have let you check that your surface description could not,
Part B (back indoors - Part 7),7,Your largest gap class (pct of line),
Part B (back indoors - Part 7),7,Is that consistent with the state you chose,
