Section,Question,Prompt,Answer
Part A (before lab),1,Soil map unit symbol,
Part A (before lab),1,Soil map unit name,
Part A (before lab),1,Ecological site name,
Part A (before lab),1,Ecological site ID,
Part A (before lab),2,Reference state dominant species,
Part A (before lab),2,Reference state expected cover or production,
Part A (before lab),2,Slope / landform / hillslope position the ESD gives for this site,
Part B (after lab),3,Your LPI foliar cover (pct),
Part B (after lab),3,Your three most abundant species,
Part B (after lab),3,Biggest mismatch with the reference community,
Part B (after lab),4,Which state on the state-and-transition model your plot best matches,
Part B (after lab),4,Evidence from your own data,
Part B (after lab),5,Slope / landform / hillslope position you recorded in the field,
Part B (after lab),5,Do they agree - and if not which is more likely wrong and why,
Part B (after lab),6,What the soil pit would have let you check that your surface description could not,
Part B (after lab),7,Your largest gap class (pct of line),
Part B (after lab),7,Is that consistent with the state you chose,
